epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8677,1.47904,5.41912,1.29019,0.03934,0.1119,0.03753,0.02185,1.58438,3.9594,1.33515,0.0928,0.0008,0.0008
2,19.7429,1.72726,4.16864,1.50619,0.00108,0.28571,0.10239,0.03108,2.13084,3.8814,2.6833,0.0846916,0.00169158,0.00169158
3,23.1297,1.62208,3.90869,1.41329,0,0,0,0,3.39132,50.0881,6.22266,0.0765743,0.00257426,0.00257426
4,25.8087,1.66283,3.0895,1.406,0.00306,0.22381,0.00884,0.00524,3.27306,3.57519,11.0177,0.068448,0.00344802,0.00344802
5,28.708,2.01337,3.1937,1.75066,0.00068,0.16667,0.0006,0.00019,3.5728,inf,10.3259,0.0603129,0.00431288,0.00431288
6,31.6254,1.94197,2.70859,1.59945,0,0,0,0,nan,nan,nan,0.0521688,0.00516882,0.00516882
7,34.6987,1.77916,2.5376,1.5565,0.00137,0.09921,0.00124,0.0002,nan,nan,nan,0.0440159,0.00601586,0.00601586
8,38.0103,1.69443,2.3173,1.48338,0.00042,0.05714,0.00036,9e-05,nan,nan,nan,0.035854,0.00685398,0.00685398
9,40.8331,1.55046,2.25873,1.30423,0.00071,0.16667,0.00218,0.0007,3.77052,inf,6.55983,0.0276832,0.0076832,0.0076832
10,43.2682,1.65226,2.23514,1.55523,0.00078,0.10714,0.0011,0.0004,3.20454,inf,6.23372,0.0195035,0.0085035,0.0085035
11,45.7274,1.43123,2.03615,1.29768,0.00095,0.16667,0.00274,0.00117,3.1599,inf,5.69012,0.0113149,0.0093149,0.0093149
12,48.0922,1.61288,2.06851,1.44096,0.00133,0.31667,0.0227,0.01364,2.59662,inf,3.75165,0.0094555,0.0094555,0.0094555
13,50.4678,1.48261,2.36989,1.36063,0.05551,0.43571,0.0531,0.02265,2.01491,inf,2.80886,0.009406,0.009406,0.009406
14,52.8551,1.75689,2.15071,1.55864,0.04892,0.53095,0.09223,0.05681,1.77854,inf,2.16298,0.0093565,0.0093565,0.0093565
15,55.1595,1.52954,1.9175,1.36724,0.27515,0.36429,0.2956,0.14273,1.70974,22.1869,2.1784,0.009307,0.009307,0.009307
